Title,Release Year,Distributor,Production,Longitude,Latitude
When We Rise,2017,Amercian Broadcasting Company,Film 49 Productions,-122.4351131,37.7607045
DEVS,2020,FX Network,Minim Productions,-122.3976413,37.7626458
A Taiwanese Tale of Two Cities,2018,Netflix,Envision Productions Inc.,-122.4491285,37.8026694
A Taiwanese Tale of Two Cities,2018,Netflix,Envision Productions Inc.,-122.4126216,37.7422467
Chance- Season 1 ep102,2016,HULU,TVM Productions,-122.4316009,37.7691838
Petulia,1968,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,-122.4254618,37.7967479
Junior,1994,Universal Pictures,Northern Lights Entertainment,-122.4147491,37.7795066
Birth of the Dragon,2016,Kylin Pictures,"BOTD U.S. Productions, Inc.",-122.4069298,37.7950135
Nine Months,1995,Twentieth Century Fox Film Corp.,1492 Pictures,-122.4345097,37.7754224
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.43489,37.771831
Bedazzled,2000,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,-122.4019961,37.7888143
Star Trek IV: The Voyage Home,1986,Paramount Pictures,Paramount Pictures,-122.4044021,37.7929164
Around the Fire,1998,Ardustry Home Entertainment,Paradigm Studio,-122.510734,37.7593921
When a Man Loves a Woman,1994,Buena Vista Pictures,Touchstone Pictures,-122.4188108,37.7938177
Summertime,2015,10 Distribution,"Creative Monster Productions, Inc.",-122.408083,37.793978
Dream for an Insomniac,1996,Columbia TriStar Home Video,Triton Productions,-122.483638,37.7935724
Milk,2008,Focus Features,Focus Features,-122.4785598,37.8199109
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.4093228,37.7940749
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4473926,37.7899488
Star Trek IV: The Voyage Home,1986,Paramount Pictures,Paramount Pictures,-122.4038481,37.7973677
Goliath- Season 4,2021,Amazon Studios,"Picrow, Inc.",-122.3874201,37.7872065
Outerlands,2025,Wolfe Video,"Vajra Films, LLC",-122.4592888,37.7866411
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.4015083,37.7861347
"Murder in the First, Season 1",2014,Turner Network Television (TNT),Turner North Center Productions,-122.4069298,37.7950135
Surface,2022,Apple TV+,"Apple Studios, LLC",-122.4072337,37.7958746
Copycat,1995,Warner Bros. Pictures,Regency Enterprises,-122.4476845,37.7544066
Ant-Man and the Wasp,2018,Walt Disney Studios Motion Pictures,"PYM Particles Productions II, LLC",-122.401109,37.7894171
When We Rise,2017,Amercian Broadcasting Company,Film 49 Productions,-122.4351507,37.7604765
Looking Season 2 ep 202,2015,HBO,"Mission Street Productions, LLC",-122.4293384,37.7693293
About a Boy,2014,National Broadcasting Company,NBC Studios,-122.4087091,37.7900405
Gentleman Jim,1942,Warner Bros. Pictures,Warner Bros. Pictures,-122.4078009,37.7819145
GirlBoss,2017,Netflix,"Hippolyta Productions, LLC",-122.4194642,37.75974
The Lady from Shanghai,1947,Columbia Pictures,Columbia Pictures Corp.,-122.482977,37.7689203
Copycat,1995,Warner Bros. Pictures,Regency Enterprises,-122.3699786,37.825284
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.4214133,37.7878701
"Budding Prospects, Pilot",2017,Amazon,Picrow Streaming Inc.,-122.4226803,37.753209
"Murder in the First, Season 1",2014,Turner Network Television (TNT),Turner North Center Productions,-122.3973037,37.7940487
Seven Girlfriends,1999,Lions Gate Films Home Entertainment,White Dwarf Productions,-122.4785598,37.8199109
Joy Luck Club,1993,National Broadcasting Company (NBC),Hollywood Pictures,-122.4074756,37.7937631
Chance- Season 1 ep110,2016,HULU,TVM Productions,-122.5038779,37.7363439
Ant-Man,2015,Walt Disney Studios Motion Pictures,"PYM Particles Productions, LLC",-122.371174,37.8173771
Venom,2018,"Columbia Pictures, Sony Pictures Releasing","L.O.Z. Productions, Inc.",-122.4198242,37.8029324
The Conversation,1974,Paramount Pictures,American Zoetrope,-122.434819,37.7763694
The Matrix Resurrections,2021,Warner Brothers,"Adobe Pictures, Inc.",-122.3967207,37.7904745
Invasion of the Body Snatchers,1978,United Artists,Solofilm,-122.4045546,37.8004678
Dim Sum: A Little Bit of Heart,1985,Orion Classics,CIM,-122.4048082,37.7944675
Shang-Chi and the Legend of the Ten Rings,2021,Disney/Marvel,Freelance Restorations LLC,-122.4093236,37.7920732
Dope Queens,2025,TBD,TomorrowLand Productions Co Inc.,-122.4048266,37.7751349
Shit and Champagne,2020,,"Shaboom Boom, LLC",-122.4351131,37.7607045
Tales of the City,2019,Netflix,Universal Television LLC,-122.435038,37.7608968
The Diary of a Teenage Girl,2015,Sony Pictures Classics,"Diary the Movie, LLC",-122.4678211,37.7829633
Looking Season 2 ep 205,2015,HBO,"Mission Street Productions, LLC",-122.4031908,37.7486564
Time After Time,1979,Columbia Broadcasting System (CBS),Orion Pictures Corp.,-122.4660947,37.7698646
Fearless,1993,Warner Bros. Pictures,Spring Creek Productions,-122.4789708,37.7927708
Dope Queens,2025,TBD,TomorrowLand Productions Co Inc.,-122.4113746,37.7875383
Chance- Season 1 ep103,2016,HULU,TVM Productions,-122.4058947,37.7684814
The Lady from Shanghai,1947,Columbia Pictures,Columbia Pictures Corp.,-122.4071098,37.7963338
Sense8,2015,Netflix,"Unpronounceable Productions, LLC",-122.4212203,37.7735081
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4015158,37.7948569
Joy Luck Club,1993,National Broadcasting Company (NBC),Hollywood Pictures,-122.4025652,37.7619709
Invasion of the Body Snatchers,1978,United Artists,Solofilm,-122.4044426,37.8066719
Cardinal X,2015,,Fire Horse Film Productions LLC,-122.3897028,37.7580456
"Looking ""Special""",2016,HBO,"Mission Street Productions, LLC",-122.403745,37.777312
Shit and Champagne,2020,,"Shaboom Boom, LLC",-122.4055626,37.7905824
Invasion of the Body Snatchers,1978,United Artists,Solofilm,-122.4027468,37.7950185
A Man on The Inside,2024,Netflix,"Universal Television, LLC",-122.4038531,37.779678
When a Man Loves a Woman,1994,Buena Vista Pictures,Touchstone Pictures,-122.4030445,37.7572634
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.4102464,37.8007752
Sudden Impact,1983,Warner Bros. Pictures,Warner Bros. Pictures,-122.4176986,37.7794929
Doctor Dolittle,1998,Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,-122.4319526,37.7878177
Big Sur,2013,,3311 Productions,-122.406019,37.7975646
Marnie,1964,Universal Pictures,Universal Pictures,-122.38489,37.773931
Blue Jasmine,2013,Sony Pictures Classics,Perdido Productions,-122.4493528,37.7695639
Dr. Dolittle 2,2001,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,-122.4456642,37.7831803
Foul Play,1978,Paramount Pictures,Paramount Pictures,-122.4286026,37.7865123
The Wedding Planner,2001,Sony Pictures Entertainment,Columbia Pictures,-122.4133739,37.7918593
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4035607,37.7647357
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.4069298,37.7950135
Harold and Maude,1971,Paramount Pictures,Mildred Lewis and Colin Higgins Productions,-122.4602558,37.7726187
Nine Months,1995,Twentieth Century Fox Film Corp.,1492 Pictures,-122.4650165,37.8040257
D.O.A,1950,United Artists,Cardinal Pictures,-122.4415459,37.7737251
Venom,2018,"Columbia Pictures, Sony Pictures Releasing","L.O.Z. Productions, Inc.",-122.3883985,37.7896411
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.4840809,37.7631373
Burglar,1987,Warner Bros. Pictures,Warner Bros. Pictures,-122.3968391,37.7627149
Surface,2022,Apple TV+,"Apple Studios, LLC",-122.4064769,37.7975922
Freebie and the Bean,1974,American Broadcasting Company (ABC),Warner Bros. Pictures,-122.3976732,37.7992627
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.4097206,37.7529677
Summertime,2015,5 Distribution,"Creative Monster Productions, Inc.",-122.4404288,37.770853
Dirty Harry,1971,Warner Brothers,The Malpaso Company,-122.4102464,37.8007752
A Man on The Inside,2024,Netflix,"Universal Television, LLC",-122.3894398,37.7888519
DEVS,2020,FX Network,Minim Productions,-122.4325357,37.7578319
The Moon Is in Aquarius,2024,Deskpop Entertainment,TMIIAquarius Movie LLC,-122.4044008,37.7991483
Freebie and the Bean,1974,American Broadcasting Company (ABC),Warner Bros. Pictures,-122.4067083,37.7978824
Outerlands,2025,Wolfe Video,"Vajra Films, LLC",-122.5088513,37.7714515
GirlBoss,2017,Netflix,"Hippolyta Productions, LLC",-122.4035525,37.802115
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.399262,37.7930831
Birth of the Dragon,2016,Kylin Pictures,"BOTD U.S. Productions, Inc.",-122.4059509,37.7924672
Greed,1924,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),-122.4262877,37.7764735
Jade,1995,Paramount Pictures,Paramount Pictures,-122.4102464,37.8007752
Looking Season 2 ep 204,2015,HBO,"Mission Street Productions, LLC",-122.4266135,37.7608223
When We Rise,2017,Amercian Broadcasting Company,Film 49 Productions,-122.3648992,37.8102258
Chance - Season 1 ep105,2016,HULU,TVM Productions,-122.4135414,37.7812278
A Taiwanese Tale of Two Cities,2018,Netflix,Envision Productions Inc.,-122.4068458,37.7942041
Maintenance Required,2025,Amazon MGM Studios,ROUKYA FILMS,-122.3966274,37.7987749
Sudden Impact,1983,Warner Bros. Pictures,Warner Bros. Pictures,-122.4100923,37.7923883
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.4029353,37.7945463
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.3992069,37.7854381
When We Rise,2017,Amercian Broadcasting Company,Film 49 Productions,-122.4192417,37.779275
Godzilla,2014,Warner Bros. Pictures,"Nautilus Productions, LLC",-122.4078275,37.7359369
Edtv,1999,MCA / Universal Pictures,Imagine Entertainment,-122.4491285,37.8026694
Americana,2015,,Sutro Films LLC,-122.4016184,37.789466
The OA Part II,2019,Netflix,Lunar Mining LLC,-122.4203163,37.7784816
Just One Night,2000,First Look International,Panoptic Pictures,-122.3936136,37.7954425
Super Pumped: The Battle for Uber,2022,Showtime,Possible Productions,-122.4192417,37.779275
Final Analysis,1992,Warner Bros. Pictures,Warner Bros. Pictures,-122.4087206,37.7877854
Contagion,2011,Warner Bros. Pictures,The Keres Corporation,-122.4007642,37.7929969
Always Be My Maybe,2019,Netflix,"Isla Productions, LLC",-122.4104443,37.7923897
Cardinal X,2015,,Fire Horse Film Productions LLC,-122.4066046,37.7675411
The Woman In Red,1984,MGM Home Entertainment,Orion Pictures Corp.,-122.4327231,37.7760676
The Game,1997,Polygram Filmed Entertainment,Polygram Filmed Entertainment,-122.402205,37.7927819
Sweet November,2001,Warner Bros. Pictures,Warner Bros. Pictures,-122.3968391,37.7627149
"Budding Prospects, Pilot",2017,Amazon,Picrow Streaming Inc.,-122.4132118,37.7527686
Innerspace,1987,Warner Bros. Pictures,Amblin Entertainment,-122.4785598,37.8199109
Joy Luck Club,1993,National Broadcasting Company (NBC),Hollywood Pictures,-122.4199151,37.7532586
Sense8 - Season 2,2016,Netflix,"Unpronounceable Productions, LLC",-122.4006294,37.7977749
Terminator - Genisys,2015,Paramount Pictures,T5 Productions LLC,-122.409079,37.7832138
Mission (aka City of Bars),2001,NA,NA,-122.4266135,37.7608223
"Murder in the First, Season 2",2015,Turner Network Television (TNT),Turner North Center Productions,-122.3699786,37.825284
Jade,1995,Paramount Pictures,Paramount Pictures,-122.4704359,37.7700913
"Looking ""Special""",2016,HBO,"Mission Street Productions, LLC",-122.4099831,37.7728134
Pushing Dead,2016,TBD,"Pushing Dead , LLC",-122.4403648,37.7163236
Chance- Season 1 ep103,2016,HULU,TVM Productions,-122.442352,37.787638
Venom,2018,"Columbia Pictures, Sony Pictures Releasing","L.O.Z. Productions, Inc.",-122.4202587,37.7873893
Godzilla,2014,Warner Bros. Pictures,"Nautilus Productions, LLC",-122.4040705,37.7907733
Steve Jobs,2015,Universal Pictures,RDF Productions LLC,-122.420623,37.7776121
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.4126979,37.801725
Looking Season 2 ep 209,2015,HBO,"Mission Street Productions, LLC",-122.4232829,37.7722677
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.4281232,37.7933145
Nine Months,1995,Twentieth Century Fox Film Corp.,1492 Pictures,-122.3958433,37.7856757
Looking Season 2 ep 206,2015,HBO,"Mission Street Productions, LLC",-122.4238729,37.7922528
Contagion,2011,Warner Bros. Pictures,The Keres Corporation,-122.4011772,37.7604903
Summertime,2015,12 Distribution,"Creative Monster Productions, Inc.",-122.4199806,37.7583974
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.4257032,37.7613966
A View to a Kill,1985,MGM/UA Entertainment Company,Metro-Goldwyn Mayer,-122.3902572,37.7768525
Heart and Souls,1993,Electric Parc,Universal Pictures,-122.4205316,37.7795597
Chu Chu and the Philly Flash,1981,Columbia Broadcasting System (CBS),Melvin Simon Productions,-122.399849,37.7572605
Doctor Dolittle,1998,Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,-122.4340934,37.7971178
Maxie,1985,Orion Pictures Corporation,Elsboy Entertainment,-122.4161985,37.7801637
Terminator - Genisys,2015,Paramount Pictures,T5 Productions LLC,-122.3981194,37.7920406
Super Pumped: The Battle for Uber,2021,Showtime,"Possible Productions, Inc.",-122.3996934,37.7859444
Women is Losers,2020,,Look at the Moon Pictures,-122.4266135,37.7608223
Pal Joey,1957,Columbia Pictures,Columbia Pictures Corporation,-122.4078009,37.7819145
The Internship,2013,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,-122.4044922,37.8010458
Contagion,2011,Warner Bros. Pictures,The Keres Corporation,-122.4084156,37.7763312
Dope Queens,2025,TBD,TomorrowLand Productions Co Inc.,-122.4202587,37.7873893
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.452453,37.7708245
Dreams,2025,The Match Factory GmbH,Suenos Productions LLC,-122.463509,37.7828155
Sudden Impact,1983,Warner Bros. Pictures,Warner Bros. Pictures,-122.4041754,37.7761709
Shang-Chi and the Legend of the Ten Rings,2021,Disney/Marvel,Freelance Restorations LLC,-122.4170528,37.7882309
Looking Season 2 ep 205,2015,HBO,"Mission Street Productions, LLC",-122.40645,37.75264
Hulk,2003,Universal Pictures,Universal Pictures,-122.3699786,37.825284
Getting Even with Dad,1994,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),-122.4205316,37.7795597
Bullitt,1968,Warner Brothers,Warner Brothers / Seven Arts Seven Arts,-122.4108571,37.7829286
A View to a Kill,1985,MGM/UA Entertainment Company,Metro-Goldwyn Mayer,-122.4785598,37.8199109
A Man on The Inside,2024,Netflix,"NBCUniversal Media, LLC",-122.3888455,37.7898628
DEVS,2020,FX Network,Minim Productions,-122.408083,37.793978
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.3983588,37.7761132
Fearless,1993,Warner Bros. Pictures,Spring Creek Productions,-122.4037515,37.7924396
Outerlands,2025,Wolfe Video,"Vajra Films, LLC",-122.492845,37.7757683
Sonic the Hedgehog,2020,Paramount Pictures,"Paramount Overseas Productions, Inc.",-122.4091885,37.7920525
Americana,2015,,Sutro Films LLC,-122.4191194,37.7564917
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4129823,37.791198
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.3946385,37.7647323
The Enforcer,1976,Warner Bros. Pictures,Warner Bros. Pictures,-122.4086024,37.7530557
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.4371531,37.7885018
Foul Play,1978,Paramount Pictures,Paramount Pictures,-122.4192417,37.779275
Chance- Season 1 ep104,2016,HULU,TVM Productions,-122.3892934,37.7614764
Woman on the Run,1950,Universal Pictures,Fidelity Pictures Corporation,-122.40934,37.791952
Shit and Champagne,2020,,"Shaboom Boom, LLC",-122.4144298,37.7721792
Dirty Harry,1971,Warner Brothers,The Malpaso Company,-122.439016,37.8066961
Under the Tuscan Sun,2003,Buena Vista Pictures,Touchstone Pictures,-122.4274729,37.7683588
Women is Losers,2020,,Look at the Moon Pictures,-122.4092406,37.750889
Dawn of the Planet of the Apes,2014,Twentieth Century Fox,"Fox Louisiana Productions, LLC",-122.4181778,37.7588667
Invasion of the Body Snatchers,1978,United Artists,Solofilm,-122.4149779,37.7966511
Looking Season 2 ep 207,2015,HBO,"Mission Street Productions, LLC",-122.4291218,37.7666942
GirlBoss,2017,Netflix,"Hippolyta Productions, LLC",-122.4061681,37.7951101
Looking Season 2 ep 205,2015,HBO,"Mission Street Productions, LLC",-122.4133892,37.7582
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4160276,37.806191
This Is Us,2022,NBC,20th Television,-122.409821,37.808673
Pacific Heights,1990,Twentieth Century Fox Film Corporation,Morgan Creek Productions,-122.3964729,37.7936658
"Murder in the First, Season 2",2015,Turner Network Television (TNT),Turner North Center Productions,-122.396016,37.7961171
Invasion of the Body Snatchers,1978,United Artists,Solofilm,-122.3866097,37.760628
Super Pumped: The Battle for Uber,2022,Showtime,Possible Productions,-122.4011664,37.7930658
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.4114878,37.7740686
Jade,1995,Paramount Pictures,Paramount Pictures,-122.401987,37.7888172
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4114304,37.7925507
Godzilla,2014,Warner Bros. Pictures,"Nautilus Productions, LLC",-122.413373,37.7876733
Dream with the Fishes,1997,Sony Pictures Classics,3 Ring Circus Films,-122.3648992,37.8102258
Birdman of Alcatraz,1962,United Artists,Norma Productions,-122.4230122,37.8266636
A Smile Like Yours,1997,Paramount Pictures,Paramount Pictures,-122.389862,37.789873
Bullitt,1968,Warner Brothers,Warner Brothers / Seven Arts Seven Arts,-122.3815252,37.7127107
Quitters,2015,,"Frederick & Ashbury, LLC.",-122.436236,37.7558421
"Murder in the First, Season 3",2016,Turner Network Television (TNT),Turner North Center Productions,-122.4227533,37.7775156
Patch Adams,1998,Universal Pictures,Bungalow 78 Productions,-122.4810057,37.7923841
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4174339,37.7994215
Sense8,2015,Netflix,"Unpronounceable Productions, LLC",-122.4663309,37.7640567
Sense8,2015,Netflix,"Unpronounceable Productions, LLC",-122.4266135,37.7608223
The Rock,1996,Buena Vista Pictures,Hollywood Pictures,-122.4058222,37.8023949
The Matrix Resurrections,2021,Warner Brothers,"Adobe Pictures, Inc.",-122.4036498,37.7951751
Dreams,2025,The Match Factory GmbH,Suenos Productions LLC,-122.4219541,37.7787551
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.4295847,37.7643274
The Presidio,1988,Paramount Pictures,Paramount Pictures,-122.4008024,37.7920216
The Conversation,1974,Paramount Pictures,American Zoetrope,-122.4227467,37.7860406
San Andreas,2015,Warner Bros.,"Upside Down Productions, Inc.",-122.4128515,37.7934379
San Andreas,2015,Warner Bros.,"Upside Down Productions, Inc.",-122.405979,37.7904182
American Graffiti,1973,Universal Pictures',Universal Pictures,-122.4044376,37.7840396
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.4548745,37.7475379
"Budding Prospects, Pilot",2017,Amazon,Picrow Streaming Inc.,-122.4108224,37.7532795
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.4746065,37.8029706
Chance - Season 1 Pilot,2016,HULU,TVM Productions,-122.4137147,37.7795744
Invasion of the Body Snatchers,1978,United Artists,Solofilm,-122.4184673,37.7782978
Dreams,2025,The Match Factory GmbH,Suenos Productions LLC,-122.4026783,37.8013545
Blue Jasmine,2013,Sony Pictures Classics,Perdido Productions,-122.4174864,37.7734127
Goliath- Season 4,2021,Amazon Studios,"Picrow, Inc.",-122.4062305,37.7938343
Looking Season 2 ep 203,2015,HBO,"Mission Street Productions, LLC",-122.431029,37.7721618
I’m A Virgo,2023,Prime Video,Bing Bang Productions Inc,-122.4052341,37.7948896
The Maltese Falcon,1941,Warner Bros. Pictures,Warner Bros. Pictures,-122.3936136,37.7954425
Sense8 - Season 2,2016,Netflix,"Unpronounceable Productions, LLC",-122.4021715,37.792255
The Matrix Resurrections,2021,Warner Brothers,"Adobe Pictures, Inc.",-122.394184,37.7951058
Edtv,1999,MCA / Universal Pictures,Imagine Entertainment,-122.409141,37.8010729
Clickbait,2021,Netflix,"MasterKey Studios, Inc.",-122.3956409,37.7993521
Woman on the Run,1950,Universal Pictures,Fidelity Pictures Corporation,-122.4042071,37.7951279
Herbie Rides Again,1974,Buena Vista Distribution,Walt Disney Productions,-122.401987,37.7888172
Venom,2018,"Columbia Pictures, Sony Pictures Releasing","L.O.Z. Productions, Inc.",-122.4121403,37.7922657
"Murder in the First, Season 1",2014,Turner Network Television (TNT),Turner North Center Productions,-122.4064942,37.79377
GirlBoss,2017,Netflix,"Hippolyta Productions, LLC",-122.4419283,37.7953281
Sister Act 2: Back in the Habit,1993,Buena Vista Pictures,Touchstone Pictures,-122.4101808,37.8016649
Guess Who's Coming to Dinner,1967,Columbia Pictures,Columbia Pictures Corporation,-122.4427392,37.7926761
Family Plot,1976,Universal Pictures,Universal Pictures,-122.4100923,37.7923883
San Andreas,2015,Warner Bros.,"Upside Down Productions, Inc.",-122.4125131,37.8086037
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.4349331,37.7788628
The Moon Is in Aquarius,2024,Deskpop Entertainment,TMIIAquarius Movie LLC,-122.3936136,37.7954425
The Right Stuff,1983,The Ladd Company,The Ladd Company,-122.4192417,37.779275
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.396646,37.7903624
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.398284,37.7792337
The Game,1997,Polygram Filmed Entertainment,Polygram Filmed Entertainment,-122.4070392,37.7918754
D.O.A,1950,United Artists,Cardinal Pictures,-122.4087206,37.7877854
Big Eyes,2014,Weinstein Company,Blink & Wink Productions,-122.4074482,37.8009836
A Taiwanese Tale of Two Cities,2018,Netflix,Envision Productions Inc.,-122.4057677,37.7953337
Chance- Season 1 ep103,2016,HULU,TVM Productions,-122.4591718,37.7480485
180,2011,,SPI Cinemas,-122.4225306,37.7989333
The Fan,1996,Columbia TriStar,Mandalay Entertainment,-122.3857003,37.7135483
Venom,2018,"Columbia Pictures, Sony Pictures Releasing","L.O.Z. Productions, Inc.",-122.4040755,37.7991868
Always Be My Maybe,2019,Netflix,"Isla Productions, LLC",-122.3956409,37.7993521
Venom,2018,"Columbia Pictures, Sony Pictures Releasing","L.O.Z. Productions, Inc.",-122.4179399,37.7870203
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.408708,37.7741577
Godzilla,2014,Warner Bros. Pictures,"Nautilus Productions, LLC",-122.4109867,37.78416
The Woman In Red,1984,MGM Home Entertainment,Orion Pictures Corp.,-122.4106579,37.7931077
Vertigo,1958,Paramount Pictures,Alfred J. Hitchcock Productions,-122.4400575,37.7675163
Terminator - Genisys,2015,Paramount Pictures,T5 Productions LLC,-122.40069,37.7843234
Freebie and the Bean,1974,American Broadcasting Company (ABC),Warner Bros. Pictures,-122.4174229,37.7910067
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.4252817,37.78549
Basic Instinct,1992,TriStar Pictures,Carolco Pictures,-122.402037,37.7903133
Dope Queens,2025,TBD,TomorrowLand Productions Co Inc.,-122.419583,37.786655
Swing,2003,Crazy Dreams Entertainment,unlisted,-122.404479,37.7979773
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.4591718,37.7480485
Alive,2020,CBS,CBS Corporation - CBS Studios Inc./CBS Television Studios,-122.3970161,37.7593837
180,2011,,SPI Cinemas,-122.3998704,37.7899845
Godzilla,2014,Warner Bros. Pictures,"Nautilus Productions, LLC",-122.3974427,37.7925691
"Looking ""Special""",2016,HBO,"Mission Street Productions, LLC",-122.435469,37.7625245
A Taiwanese Tale of Two Cities,2018,Netflix,Envision Productions Inc.,-122.44975,37.7694368
"Budding Prospects, Pilot",2017,Amazon,Picrow Streaming Inc.,-122.4259924,37.7917772
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4472667,37.7111667
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.3906899,37.7354829
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.4174783,37.80968
Chance- Season 1 ep104,2016,HULU,TVM Productions,-122.4632436,37.7353289
Chance - Season 1 Pilot,2016,HULU,TVM Productions,-122.4151417,37.788739
DEVS,2020,FX Network,Minim Productions,-122.420591,37.762998
Interview With The Vampire,1994,Geffen Pictures,Geffen Pictures,-122.4785598,37.8199109
Bitter Melon,2018,"ABS-CBN, Gravitas Ventures",Bitter Melon Film LLC/Mammoth Pictures,-122.4228372,37.7627015
Outerlands,2025,Wolfe Video,"Vajra Films, LLC",-122.4037778,37.7905417
Twisted,2004,Paramount Pictures,Paramount Pictures,-122.3874201,37.7872065
The Lineup,1958,Columbia Pictures,Pajemer Productions,-122.51365,37.7804444
The Times of Harvey Milk,1984,TC Films International,UCLA Film and Television Archive,-122.435033,37.7608937
High Crimes,2002,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,-122.4066183,37.787552
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.4632309,37.8007597
Magnum Force,1973,Warner Bros. Pictures,The Malpaso Company,-122.4161079,37.7620451
Jade,1995,Paramount Pictures,Paramount Pictures,-122.4041754,37.7761709
Women is Losers,2020,,Look at the Moon Pictures,-122.4463975,37.7272728
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.4114878,37.7834457
Invasion of the Body Snatchers,1978,United Artists,Solofilm,-122.4192417,37.779275
Heart and Souls,1993,Electric Parc,Universal Pictures,-122.4076596,37.7927749
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.4061477,37.7950056
San Andreas,2015,Warner Bros.,"Upside Down Productions, Inc.",-122.4234921,37.8043658
Twisted,2004,Paramount Pictures,Paramount Pictures,-122.4074216,37.7992973
Blue Jasmine,2013,Sony Pictures Classics,Perdido Productions,-122.4150331,37.7958904
The House on Telegraph Hill,1951,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,-122.4058222,37.8023949
The Pursuit of Happyness,2006,Columbia Pictures,Columbia Pictures Corporation,-122.3857003,37.7135483
Invasion of the Body Snatchers,1978,United Artists,Solofilm,-122.4275889,37.79165
Chance - Season 1 Pilot,2016,HULU,TVM Productions,-122.4256783,37.78185
Chu Chu and the Philly Flash,1981,Columbia Broadcasting System (CBS),Melvin Simon Productions,-122.39658,37.79021
The OA Part II,2019,Netflix,Lunar Mining LLC,-122.389279,37.772625
Broken-A Modern Love Story,2010,,RKW Films,-122.4001104,37.7937037
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.376241,37.7321694
Goliath- Season 4,2021,Amazon Studios,"Picrow, Inc.",-122.4082856,37.7958399
The Wedding Planner,2001,Sony Pictures Entertainment,Columbia Pictures,-122.4683478,37.7687768
Dreams,2025,The Match Factory GmbH,Suenos Productions LLC,-122.421985,37.789714
Venom,2018,"Columbia Pictures, Sony Pictures Releasing","L.O.Z. Productions, Inc.",-122.4069884,37.7900488
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.4046939,37.7854871
Chance- Season 1 ep110,2016,HULU,TVM Productions,-122.4631201,37.7247067
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.4537662,37.7682526
